target,High,Low,Open,Close,Volume,Adj Close,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa AC,Aplicações Financeiras AC,Contas a Receber AC,Estoques AC,Tributos a Recuperar AC,Outros Ativos Circulantes AC,Ativo Realizavel Longo Prazo,Contas a Receber ACLP,Tributos Diferidos ACLP,Outros Ativos Não Circulantes ACLP,Investimentos,Imobilizado,Intangível,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas PC,Fornecedores PC,Obrigações Fiscais PC,Empréstimos e Financiamentos PC,Outros PC,Passivo Não Circulante,Empréstimos e Financiamentos PNC,Outros PNC,Tributos Diferidos PNC,Provisões PNC,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Lucros,Lucros/Prejuízos Acumulados
Bad,30.35000038146973,26.270000457763672,29.61000061035156,27.13999938964844,38273533.333333336,25.77133814493815,3454612.0,1126358.0,191491.0,279012.0,558473.0,17226.0,58335.0,21821.0,4150464.6820881306,218234.45543504658,204497.26378020697,65345.0,10066.0,642576.0,1610267.0,3454612.0,822232.0,96316.0,143247.0,36905.0,308082.0,17430.0,1031507.0,564759.0,67259.0,371338.0,28151.0,1.0,1600873.0,1413608.0,20077.0,70681.0,96429.0
Bad,92.27999877929688,72.80000305175781,91.8000030517578,74.80000305175781,21596033.33333333,79.73872375488281,6496808.0,3931798.0,102675.0,1953983.5203643492,1100997.0,2627074.0,68598.0,160308.4162634935,4163480.2404097877,1284.0,262435.54685513594,63745.0,10095.512422142228,1306937.0,1190326.0,6496808.0,2575363.0,205256.0,1832996.0,98994.0,186160.0,97648.0,697053.0,387345.0,11285.0,243587.0,5973.0,28193.0,3196199.0,1808639.0,107490.0,1228149.0,69998.0
Bad,16.149999618530273,12.010000228881836,15.989999771118164,14.960000038146973,223478300.0,13.061430931091307,802014626.0,159665095.0,68466528.0,10025962.0,24040520.0,35259679.0,11609575.0,10262817.0,5807972.5753132915,11520449.0,15868694.0,18153423.0,15619421.0,544913654.0,35978473.0,802014626.0,83746333.0,6361671.0,26905199.0,734543.0,21843616.0,15221458.0,362498654.0,286303191.0,1539161.3362784218,25624144.0,50571346.0,1279056.0,354490624.0,205410910.0,641482.0,149035713.0,5395469.0
Bad,22.663299560546875,19.46999931335449,19.60330009460449,22.100000381469727,50421500.0,19.287856419881184,8650829.0,1474490.0,101397.0,1003918.0,243567.0,46731.0,7218.0,71659.0,4154105.0234867292,107512.0,14313.0,118688.0,6299509.0,29718.0,347348.0,8650829.0,729372.0,161094.80060762077,104402.0,28858.0,404829.0,109942.0,2807086.0,2486008.0,152836.0,168242.0,12509.73618298427,7079.0,5107292.0,2944514.0,838436.0,1270179.0,54163.0
Bad,42.4640998840332,31.87919998168945,35.67409896850586,34.96310043334961,29493825.33333333,29.762591044108078,29294725.0,3797397.0,1306496.0,214750.72517124872,872473.0,327367.0,92672.0,1198389.0,4163292.319185,406104.0,270017.0,2371964.0,10855206.0,1360812.0,10233226.0,29294725.0,2267138.0,90709.10219768237,996693.0,229286.0,654774.0,374204.0,13122558.0,6685705.0,4816120.0,1620733.0,763560.5398046585,3941216.0,9963814.0,4691822.0,768775.0,3976723.0,375502.0
Bad,28.19169998168945,20.408300399780273,27.06669998168945,23.24169921875,140898000.0,20.366121292114254,30544071.0,13743400.0,2658956.0,1284352.4613199797,11084444.0,2939581.1332477825,141490.56936167678,373357.28802749905,4124277.2765350654,39195.0,976607.0,1522612.0,104353.0,640099.0,13442323.0,30544071.0,7852780.0,209724.07790753705,3336442.0,409789.0,2921002.0,597987.0,9788300.0,7870107.0,1260566.7469063087,224329.0,1659419.0,3659589.0,9243401.0,3500000.0,-119562.0,5851974.0,312246.39329345827
Bad,18.244400024414066,13.128199577331545,14.286600112915039,14.701700210571287,23698457.0,14.680566787719727,9948401.0,5257690.0,329424.0,2239205.0,858431.0,1425872.0,205888.0,119271.0,4155051.5192572577,345161.13271648315,474252.0,967714.0,74702.65741907804,565965.0,2682780.0,9948401.0,3262136.0,70186.0,2200722.0,64985.0,554553.0,371690.0,3980132.0,3646642.0,103129.0,306722.42237006745,213811.0,91.0,2706042.0,3635970.0,27691.0,543074.2380815302,-957251.0
Bad,24.690000534057607,21.190000534057614,22.790000915527344,24.309999465942386,9086466.666666666,21.0677547454834,4548358.0,1446068.0,461122.0,819590.0,109055.0,5940.0,26612.0,22542.0,4165647.7608093293,73884.0,19209.0,119363.0,2677854.0,19966.0,108739.0,4548358.0,313553.0,16394.0,24098.0,16893.0,180309.0,75859.0,1928138.0,1716538.0,65372.0,45619.0,33635.0,4148.0,2302519.0,1233163.0,458185.0,483084.0,128087.0
Bad,44.36999893188477,35.009998321533196,37.75,38.150001525878906,20848633.33333333,35.855482737223305,27299828.0,6303857.0,3990930.0,669009.0829271891,713468.0,346173.0,290386.0,962900.0,4165917.0441977303,40501.0,330212.0,2161285.0,8746495.0,389329.0,9328150.0,27299828.0,3222805.0,87509.17454647421,1467570.0,274679.0,936000.0,450501.0,13284685.0,8202129.0,3973808.0,1108748.0,816954.0359393471,1826733.0,8965606.0,3824648.0,921352.0,4515529.0,346262.94458683487
Bad,24.35000038146973,18.399999618530273,23.059999465942386,19.3700008392334,21762566.666666668,18.832842508951824,52079391.0,15930023.0,1060159.0,772299.0,4692749.0,8536526.0,865246.0,3044.0,4173100.9136634204,230711.0,1898363.0,1636889.0,1344223.0,19611902.0,11271213.0,52079391.0,9215254.0,460821.0,3020757.0,662983.0,4656967.0,347172.0,16405295.0,11600194.0,1176966.0,1290303.0,2337832.0,16616249.0,9842592.0,6881998.0,-69861.0,3680967.0,34125.0
Bad,25.38999938964844,14.020000457763672,15.0,23.04999923706055,60933433.33333334,16.889998753865562,8863939.0,5164840.0,837424.0,1348943.4901847988,2438605.0,1888811.0,307704.7853546659,311127.36472861026,4152423.027208256,3018119.0,354217.8616529696,37518.0,11119.0,124435.0,128802.0,8863939.0,3164301.0,83995.04864425311,232607.0,193259.0,388973.0,2115020.0,2809495.0,2457939.0,162253.0,68442.18367772386,189303.0,195507.0,2694636.0,1399165.0,36480.0,740436.0,521631.0
Bad,9.609999656677246,8.069999694824219,8.550000190734862,9.239999771118164,99210533.33333331,7.4042833646138515,23438219.0,8287126.0,3262855.0,1872.0,3285782.0,273171.0,1224260.0,124684.0,4134429.478643493,59712.0,1488235.0,1086044.0,3964466.9173209914,6624081.0,5774276.0,23438219.0,6795630.0,145803.0,3709301.0,1159793.0,1090174.0,364211.0,3685854.0,2570409.0,546633.0,77055.0,491757.0,471969.7157854479,12956737.0,9839770.0,381120.0,2735847.0,520483.69409574196
Bad,12.146699905395508,10.473299980163574,10.513299942016602,11.346699714660645,45358800.0,10.84331226348877,11080294.0,7354002.0,183514.0,2924806.0,1622157.0,1884234.0,385995.0,333301.0,4149280.208613704,469894.59529335017,276178.0,459124.0,5567.144248446921,1334442.0,1601241.0,11080294.0,4904392.0,76593.0,2920066.0,260194.0,1360086.0,255972.94731397537,5006597.0,4892209.0,17299.0,5021.0,92068.0,359833.0,809472.0,526514.0,-315492.0,596708.0,-349770.7984023883
